datum,plats,latitud,longitud,temperatur_c,luftfuktighet_procent,vindhastighet_ms,vindriktning_grader,nederbord_mm,lufttryck_hpa,sikt_km,molnighet_procent
2024-01-03,Hammarland,60.2167,19.75,3.3,60,10.8,219,0.4,1009.6,8,71
2024-01-03,Saltvik,60.2833,20.05,1.0,55,4.8,246,0.4,1012.9,14,69
2024-01-03,Geta,60.3833,19.85,3.5,60,7.7,318,0.5,1009.6,15,73
2024-01-03,Eckerö,60.2167,19.6167,0.2,59,7.3,339,0.4,1009.6,8,57
2024-01-03,Lemland,60.05,20.0167,2.5,58,5.0,123,0.5,1013.4,13,68
2024-01-03,Lumparland,60.1167,20.25,2.2,56,8.4,231,0.5,1011.7,13,69
2024-01-04,Mariehamn,60.0972,19.9348,-4.2,56,9.6,48,0.5,1006.8,8,43
2024-01-04,Jomala,60.1,19.95,-7.6,58,4.6,211,0.5,1006.7,15,39
2024-01-04,Finström,60.2167,19.95,-6.8,57,5.3,165,0.5,1006.3,16,40
2024-01-04,Sund,60.25,20.2,-7.7,55,5.1,332,0.5,1006.5,13,44
2024-01-04,Hammarland,60.2167,19.75,-4.1,57,7.8,253,0.5,1009.5,11,50
2024-01-04,Saltvik,60.2833,20.05,-5.0,55,10.1,218,0.5,1008.3,12,33
2024-01-04,Geta,60.3833,19.85,-7.3,62,3.9,89,0.5,1008.1,12,46
2024-01-04,Eckerö,60.2167,19.6167,-5.3,62,5.9,191,0.5,1009.0,9,43
2024-01-04,Lemland,60.05,20.0167,-4.9,56,4.3,150,0.6,1009.0,16,36
2024-01-04,Lumparland,60.1167,20.25,-7.1,64,4.1,44,0.5,1006.2,13,47
2024-01-05,Mariehamn,60.0972,19.9348,-2.3,69,10.7,303,0.1,1007.4,16,17
2024-01-05,Jomala,60.1,19.95,-3.1,71,10.3,116,0.1,1007.8,11,24
2024-01-05,Finström,60.2167,19.95,-2.0,73,10.2,40,0.1,1006.7,14,20
2024-01-05,Sund,60.25,20.2,-3.1,69,3.1,167,0.1,1006.6,13,15
2024-01-05,Hammarland,60.2167,19.75,-5.8,68,7.9,174,0.1,1009.0,16,21
2024-01-05,Saltvik,60.2833,20.05,-4.9,73,5.7,275,0.1,1008.2,15,24
2024-01-05,Geta,60.3833,19.85,-5.5,69,5.5,92,0.1,1009.2,8,24
2024-01-05,Eckerö,60.2167,19.6167,-3.3,71,9.9,160,0.1,1009.4,14,18
2024-01-05,Lemland,60.05,20.0167,-3.5,68,4.4,48,0.1,1008.4,9,20
2024-01-05,Lumparland,60.1167,20.25,-4.4,70,6.6,142,0.1,1009.6,9,17
2024-01-06,Mariehamn,60.0972,19.9348,-9.2,83,4.7,137,5.4,1001.2,5,51
2024-01-06,Jomala,60.1,19.95,-9.1,90,9.9,194,5.7,1003.9,5,63
2024-01-06,Finström,60.2167,19.95,-8.3,89,10.1,90,6.2,1003.5,13,62
2024-01-06,Sund,60.25,20.2,-11.2,86,5.9,211,4.7,1003.5,5,65
2024-01-06,Hammarland,60.2167,19.75,-8.8,89,3.8,297,5.0,1001.7,6,62
2024-01-06,Saltvik,60.2833,20.05,-7.6,81,5.0,188,5.3,1001.7,5,63
2024-01-06,Geta,60.3833,19.85,-9.8,82,5.0,191,4.8,1004.6,12,64
2024-01-06,Eckerö,60.2167,19.6167,-7.4,84,9.5,329,5.5,1003.9,8,64
2024-01-06,Lemland,60.05,20.0167,-9.1,81,10.7,55,5.8,1003.5,7,59
2024-01-06,Lumparland,60.1167,20.25,-8.5,89,6.9,340,6.0,1001.0,13,57
2024-01-07,Mariehamn,60.0972,19.9348,-1.2,88,4.0,23,0.3,1008.3,5,33
2024-01-07,Jomala,60.1,19.95,-3.6,88,10.5,59,0.3,1007.5,8,32
2024-01-07,Finström,60.2167,19.95,-1.9,91,3.3,319,0.4,1007.7,10,25
2024-01-07,Sund,60.25,20.2,-0.9,89,6.1,134,0.4,1006.3,9,37
2024-01-07,Hammarland,60.2167,19.75,-1.6,88,8.9,127,0.3,1008.7,13,35
2024-01-07,Saltvik,60.2833,20.05,-2.4,88,10.5,342,0.3,1007.2,15,23
2024-01-07,Geta,60.3833,19.85,-3.4,92,6.2,236,0.3,1008.4,6,40
2024-01-07,Eckerö,60.2167,19.6167,-2.3,94,3.1,93,0.4,1005.3,12,31
2024-01-07,Lemland,60.05,20.0167,-1.3,90,10.1,80,0.4,1005.6,8,38
2024-01-07,Lumparland,60.1167,20.25,-2.2,85,9.2,47,0.3,1008.7,11,38
2024-01-08,Mariehamn,60.0972,19.9348,-4.2,64,4.6,176,0.3,1014.7,10,64
2024-01-08,Jomala,60.1,19.95,-4.9,59,3.0,236,0.2,1014.9,7,62
2024-01-08,Finström,60.2167,19.95,-6.2,62,4.7,290,0.2,1015.7,8,56
2024-01-08,Sund,60.25,20.2,-3.6,64,7.1,191,0.2,1015.9,10,58
2024-01-08,Hammarland,60.2167,19.75,-4.1,59,5.2,26,0.2,1017.7,15,57
2024-01-08,Saltvik,60.2833,20.05,-5.5,61,10.7,336,0.2,1017.3,7,57
2024-01-08,Geta,60.3833,19.85,-6.2,58,3.5,302,0.2,1014.7,8,66
2024-01-08,Eckerö,60.2167,19.6167,-3.2,56,8.0,108,0.2,1017.0,9,52
2024-01-08,Lemland,60.05,20.0167,-5.2,63,4.8,335,0.2,1014.0,10,51
2024-01-08,Lumparland,60.1167,20.25,-6.1,57,3.2,153,0.2,1015.3,13,48
2024-01-09,Mariehamn,60.0972,19.9348,-7.2,52,6.6,337,0.3,1025.6,15,34
2024-01-09,Jomala,60.1,19.95,-7.2,58,9.2,97,0.3,1025.8,17,28
2024-01-09,Finström,60.2167,19.95,-7.7,57,5.6,41,0.3,1023.6,17,28
2024-01-09,Sund,60.25,20.2,-8.9,49,4.6,129,0.3,1022.4,12,19
2024-01-09,Hammarland,60.2167,19.75,-7.6,49,9.5,30,0.3,1022.4,13,22
2024-01-09,Saltvik,60.2833,20.05,-8.1,57,10.4,143,0.2,1022.4,11,21
2024-01-09,Geta,60.3833,19.85,-7.2,50,8.1,314,0.3,1022.7,11,28
2024-01-09,Eckerö,60.2167,19.6167,-8.7,55,9.4,261,0.3,1026.1,10,30
2024-01-09,Lemland,60.05,20.0167,-7.3,53,9.3,245,0.3,1025.9,13,26
2024-01-09,Lumparland,60.1167,20.25,-6.6,49,5.1,143,0.3,1024.4,13,20
2024-01-10,Mariehamn,60.0972,19.9348,-2.2,86,10.9,260,0.4,1001.9,9,53
2024-01-10,Jomala,60.1,19.95,-2.9,90,8.7,25,0.3,1000.5,7,54
2024-01-10,Finström,60.2167,19.95,0.0,83,7.0,343,0.4,1003.1,10,53
2024-01-10,Sund,60.25,20.2,-0.2,91,10.2,123,0.4,1002.4,13,49
2024-01-10,Hammarland,60.2167,19.75,-0.3,89,7.2,121,0.4,1002.0,7,43
2024-01-10,Saltvik,60.2833,20.05,-0.3,90,9.7,287,0.3,999.6,12,47
2024-01-10,Geta,60.3833,19.85,-2.4,85,4.5,78,0.4,1000.8,13,59
2024-01-10,Eckerö,60.2167,19.6167,-1.3,91,4.1,85,0.3,1000.6,13,44
2024-01-10,Lemland,60.05,20.0167,-2.7,89,7.5,5,0.4,1002.3,7,43
2024-01-10,Lumparland,60.1167,20.25,-0.8,92,7.0,289,0.3,1002.8,6,56
2024-01-11,Mariehamn,60.0972,19.9348,-8.9,81,9.9,8,8.5,1000.0,9,51
2024-01-11,Jomala,60.1,19.95,-9.6,76,5.7,145,6.7,1003.0,7,60
2024-01-11,Finström,60.2167,19.95,-7.5,76,4.2,67,8.7,1002.6,6,68
2024-01-11,Sund,60.25,20.2,-7.9,83,5.3,282,9.2,999.7,5,61
2024-01-11,Hammarland,60.2167,19.75,-6.4,79,4.1,70,6.4,1000.6,8,53
2024-01-11,Saltvik,60.2833,20.05,-7.4,83,4.3,309,6.4,1003.0,6,68
2024-01-11,Geta,60.3833,19.85,-6.5,79,10.4,38,8.0,1001.9,8,63
2024-01-11,Eckerö,60.2167,19.6167,-9.5,75,10.1,331,6.5,1003.0,7,57
2024-01-11,Lemland,60.05,20.0167,-9.5,76,7.7,263,6.7,1001.3,5,56
2024-01-11,Lumparland,60.1167,20.25,-6.2,77,3.7,275,7.0,1002.7,13,63
2024-01-12,Mariehamn,60.0972,19.9348,3.0,86,8.3,150,0.3,1026.2,10,65
2024-01-12,Jomala,60.1,19.95,2.3,87,7.0,73,0.2,1025.2,11,74
2024-01-12,Finström,60.2167,19.95,1.5,81,4.6,287,0.2,1023.9,9,71
2024-01-12,Sund,60.25,20.2,2.1,87,10.1,341,0.3,1024.0,9,81
2024-01-12,Hammarland,60.2167,19.75,1.5,82,4.8,310,0.2,1024.5,9,77
2024-01-12,Saltvik,60.2833,20.05,3.2,86,5.1,208,0.3,1022.8,5,83
2024-01-12,Geta,60.3833,19.85,-0.6,84,3.9,55,0.2,1023.5,5,79
2024-01-12,Eckerö,60.2167,19.6167,2.7,85,7.9,119,0.3,1026.4,6,70
2024-01-12,Lemland,60.05,20.0167,3.3,87,5.3,16,0.2,1025.7,5,75
2024-01-12,Lumparland,60.1167,20.25,3.4,88,7.7,150,0.3,1023.8,11,82
2024-01-13,Mariehamn,60.0972,19.9348,-7.5,73,5.5,229,8.5,1020.7,11,65
2024-01-13,Jomala,60.1,19.95,-4.9,82,8.1,276,6.6,1018.7,5,80
2024-01-13,Finström,60.2167,19.95,-4.2,74,6.9,320,7.3,1018.8,10,80
2024-01-13,Sund,60.25,20.2,-6.4,78,10.6,245,6.9,1019.8,6,73
2024-01-13,Hammarland,60.2167,19.75,-7.5,77,9.9,290,8.9,1020.2,8,81
2024-01-13,Saltvik,60.2833,20.05,-5.6,74,6.8,155,8.8,1021.5,6,81
2024-01-13,Geta,60.3833,19.85,-6.3,78,7.2,75,6.1,1019.1,7,81
2024-01-13,Eckerö,60.2167,19.6167,-6.5,82,7.3,272,6.4,1021.3,11,73
2024-01-13,Lemland,60.05,20.0167,-6.9,73,3.1,210,6.4,1018.1,6,65
2024-01-13,Lumparland,60.1167,20.25,-7.8,80,9.6,134,7.9,1020.9,8,81
2024-01-14,Mariehamn,60.0972,19.9348,0.6,95,7.1,303,6.9,1010.4,6,100
2024-01-14,Jomala,60.1,19.95,-0.2,95,7.6,295,5.3,1008.9,5,96
2024-01-14,Finström,60.2167,19.95,-1.2,95,6.8,311,7.0,1011.3,10,100
2024-01-14,Sund,60.25,20.2,-1.4,95,7.1,249,6.5,1011.2,5,86
2024-01-14,Hammarland,60.2167,19.75,-1.3,95,5.9,103,6.0,1009.2,5,100
2024-01-14,Saltvik,60.2833,20.05,-0.5,95,10.3,311,5.1,1009.3,5,92
2024-01-14,Geta,60.3833,19.85,-2.6,95,7.5,349,6.3,1010.3,10,87
2024-01-14,Eckerö,60.2167,19.6167,-1.7,95,4.7,75,7.1,1008.4,5,97
2024-01-14,Lemland,60.05,20.0167,-1.5,95,3.8,357,7.5,1010.6,5,95
2024-01-14,Lumparland,60.1167,20.25,-0.9,95,10.4,209,5.5,1010.7,7,94
2024-01-15,Mariehamn,60.0972,19.9348,-5.8,86,3.0,119,0.1,1018.0,10,15
2024-01-15,Jomala,60.1,19.95,-7.6,84,7.8,85,0.1,1018.0,10,26
2024-01-15,Finström,60.2167,19.95,-7.0,86,7.5,6,0.1,1017.4,13,27
2024-01-15,Sund,60.25,20.2,-6.9,84,5.5,233,0.1,1017.8,10,23
2024-01-15,Hammarland,60.2167,19.75,-7.7,90,8.0,151,0.1,1019.6,7,18
2024-01-15,Saltvik,60.2833,20.05,-8.3,92,7.7,52,0.1,1016.4,12,18
2024-01-15,Geta,60.3833,19.85,-8.8,89,4.6,164,0.1,1018.9,8,21
2024-01-15,Eckerö,60.2167,19.6167,-7.9,88,6.9,105,0.1,1019.3,7,15
2024-01-15,Lemland,60.05,20.0167,-5.3,90,10.2,349,0.1,1018.9,12,26
2024-01-15,Lumparland,60.1167,20.25,-6.9,93,10.6,3,0.1,1018.9,9,16
2024-01-16,Mariehamn,60.0972,19.9348,-0.7,50,5.7,173,0.1,1012.6,15,49
2024-01-16,Jomala,60.1,19.95,-1.4,53,9.5,25,0.2,1013.4,15,39
2024-01-16,Finström,60.2167,19.95,-0.4,52,9.4,202,0.2,1015.3,9,46
2024-01-16,Sund,60.25,20.2,-1.0,53,5.5,111,0.2,1014.5,9,44
2024-01-16,Hammarland,60.2167,19.75,-0.9,52,3.9,107,0.2,1015.0,14,47
2024-01-16,Saltvik,60.2833,20.05,-2.0,56,10.4,266,0.2,1016.1,9,43
2024-01-16,Geta,60.3833,19.85,-2.9,55,10.3,234,0.2,1015.8,12,46
2024-01-16,Eckerö,60.2167,19.6167,-1.0,49,10.5,187,0.2,1015.9,11,45
2024-01-16,Lemland,60.05,20.0167,-0.8,49,8.0,313,0.1,1014.2,12,39
2024-01-16,Lumparland,60.1167,20.25,-3.7,49,9.6,217,0.2,1013.8,11,39
2024-01-17,Mariehamn,60.0972,19.9348,-6.8,68,3.5,10,0.3,1018.4,8,65
2024-01-17,Jomala,60.1,19.95,-7.8,72,5.6,132,0.4,1018.0,10,72
2024-01-17,Finström,60.2167,19.95,-6.1,64,6.0,273,0.4,1018.7,8,68
2024-01-17,Sund,60.25,20.2,-5.4,64,4.3,69,0.3,1019.0,14,79
2024-01-17,Hammarland,60.2167,19.75,-5.6,67,6.3,219,0.3,1019.9,7,66
2024-01-17,Saltvik,60.2833,20.05,-7.0,65,9.3,134,0.4,1018.3,7,82
2024-01-17,Geta,60.3833,19.85,-7.9,70,3.5,257,0.4,1018.8,10,75
2024-01-17,Eckerö,60.2167,19.6167,-6.7,64,9.7,236,0.4,1018.4,13,64
2024-01-17,Lemland,60.05,20.0167,-8.7,63,9.4,243,0.3,1020.6,9,69
2024-01-17,Lumparland,60.1167,20.25,-5.6,65,3.0,35,0.3,1020.4,7,67
2024-01-18,Mariehamn,60.0972,19.9348,-7.4,64,8.9,222,0.4,1022.6,6,68
2024-01-18,Jomala,60.1,19.95,-6.2,65,6.7,142,0.3,1018.8,9,81
2024-01-18,Finström,60.2167,19.95,-6.5,62,6.0,185,0.4,1020.0,6,73
2024-01-18,Sund,60.25,20.2,-7.2,61,5.5,75,0.3,1022.4,8,64
2024-01-18,Hammarland,60.2167,19.75,-5.4,67,8.3,46,0.4,1022.2,14,70
2024-01-18,Saltvik,60.2833,20.05,-8.0,65,3.8,72,0.3,1020.1,7,72
2024-01-18,Geta,60.3833,19.85,-6.1,70,5.0,338,0.4,1020.0,5,79
2024-01-18,Eckerö,60.2167,19.6167,-7.4,64,6.9,206,0.4,1019.3,5,68
2024-01-18,Lemland,60.05,20.0167,-4.6,66,4.8,62,0.4,1020.9,7,67
2024-01-18,Lumparland,60.1167,20.25,-7.3,64,8.3,259,0.4,1019.8,11,73
2024-01-19,Mariehamn,60.0972,19.9348,-5.6,88,4.8,256,2.8,1017.7,7,80
2024-01-19,Jomala,60.1,19.95,-4.1,91,9.2,351,2.8,1015.7,5,82
2024-01-19,Finström,60.2167,19.95,-5.4,84,10.7,255,3.0,1016.0,5,88
2024-01-19,Sund,60.25,20.2,-2.4,85,6.0,102,2.6,1015.2,12,80
2024-01-19,Hammarland,60.2167,19.75,-3.4,86,4.6,249,3.4,1015.4,10,86
2024-01-19,Saltvik,60.2833,20.05,-1.9,86,6.9,145,2.8,1017.8,11,97
2024-01-19,Geta,60.3833,19.85,-5.0,85,5.9,25,3.1,1016.8,8,93
2024-01-19,Eckerö,60.2167,19.6167,-4.9,91,9.8,19,3.2,1014.5,5,80
2024-01-19,Lemland,60.05,20.0167,-2.5,84,6.5,216,2.6,1017.1,5,78
2024-01-19,Lumparland,60.1167,20.25,-2.1,86,7.5,175,2.6,1017.3,7,92
2024-01-20,Mariehamn,60.0972,19.9348,-0.5,57,5.0,6,0.2,1010.6,13,40
2024-01-20,Jomala,60.1,19.95,0.6,59,9.8,55,0.2,1011.8,12,53
2024-01-20,Finström,60.2167,19.95,-1.1,66,6.6,185,0.2,1010.7,13,46
2024-01-20,Sund,60.25,20.2,1.3,61,6.4,216,0.2,1012.6,11,40
2024-01-20,Hammarland,60.2167,19.75,1.1,62,7.1,314,0.2,1009.9,15,52
2024-01-20,Saltvik,60.2833,20.05,0.3,58,6.7,248,0.2,1012.1,16,36
2024-01-20,Geta,60.3833,19.85,1.1,66,6.8,172,0.2,1011.6,9,40
2024-01-20,Eckerö,60.2167,19.6167,-1.2,58,6.3,286,0.2,1011.1,12,52
2024-01-20,Lemland,60.05,20.0167,1.5,57,8.8,269,0.2,1012.5,14,36
2024-01-20,Lumparland,60.1167,20.25,1.6,61,3.0,192,0.2,1011.4,15,36
2024-01-21,Mariehamn,60.0972,19.9348,-8.1,62,4.9,26,0.1,1008.8,9,47
2024-01-21,Jomala,60.1,19.95,-7.9,60,7.6,187,0.1,1007.0,14,55
2024-01-21,Finström,60.2167,19.95,-7.5,64,5.8,338,0.1,1006.4,6,51
2024-01-21,Sund,60.25,20.2,-8.9,61,8.6,79,0.1,1009.1,7,55
2024-01-21,Hammarland,60.2167,19.75,-8.6,62,8.6,84,0.1,1008.3,7,54
2024-01-21,Saltvik,60.2833,20.05,-7.2,64,10.9,155,0.1,1009.0,15,55
2024-01-21,Geta,60.3833,19.85,-8.0,70,9.4,265,0.1,1009.3,9,54
2024-01-21,Eckerö,60.2167,19.6167,-7.8,68,5.7,22,0.1,1006.2,10,43
2024-01-21,Lemland,60.05,20.0167,-7.4,60,3.6,181,0.1,1006.2,15,55
2024-01-21,Lumparland,60.1167,20.25,-8.4,61,7.2,56,0.1,1007.3,7,47
2024-01-22,Mariehamn,60.0972,19.9348,0.8,86,5.4,130,0.2,1005.0,12,22
2024-01-22,Jomala,60.1,19.95,-0.6,86,5.4,144,0.2,1003.6,6,28
2024-01-22,Finström,60.2167,19.95,0.5,86,9.6,56,0.2,1003.1,13,22
2024-01-22,Sund,60.25,20.2,-1.0,92,9.2,177,0.2,1003.5,8,28
2024-01-22,Hammarland,60.2167,19.75,2.1,90,5.0,95,0.3,1003.6,7,32
2024-01-22,Saltvik,60.2833,20.05,1.7,83,7.4,293,0.2,1003.1,14,28
2024-01-22,Geta,60.3833,19.85,-1.0,88,7.1,87,0.2,1003.1,13,31
2024-01-22,Eckerö,60.2167,19.6167,2.2,84,10.2,81,0.2,1003.6,15,16
2024-01-22,Lemland,60.05,20.0167,0.3,92,10.6,145,0.2,1005.4,11,13
2024-01-22,Lumparland,60.1167,20.25,-1.0,83,5.5,148,0.2,1002.8,15,19
2024-01-23,Mariehamn,60.0972,19.9348,-4.6,87,7.3,246,0.2,1014.4,13,42
2024-01-23,Jomala,60.1,19.95,-2.8,84,10.9,358,0.3,1014.8,11,32
2024-01-23,Finström,60.2167,19.95,-3.8,84,4.5,112,0.2,1014.5,7,44
2024-01-23,Sund,60.25,20.2,-2.6,88,7.3,266,0.2,1013.7,13,40
2024-01-23,Hammarland,60.2167,19.75,-5.5,83,6.1,301,0.2,1011.0,5,44
2024-01-23,Saltvik,60.2833,20.05,-4.2,90,10.4,97,0.2,1014.7,13,50
2024-01-23,Geta,60.3833,19.85,-2.9,85,7.1,213,0.3,1012.6,14,36
2024-01-23,Eckerö,60.2167,19.6167,-3.1,84,3.1,187,0.2,1014.7,8,34
2024-01-23,Lemland,60.05,20.0167,-6.0,91,6.5,272,0.2,1012.9,12,33
2024-01-23,Lumparland,60.1167,20.25,-2.5,83,9.4,25,0.3,1013.1,5,46
2024-01-24,Mariehamn,60.0972,19.9348,-3.7,78,10.6,358,1.0,1000.9,8,43
2024-01-24,Jomala,60.1,19.95,-3.6,81,6.2,258,0.7,1001.6,15,35
2024-01-24,Finström,60.2167,19.95,-2.8,75,5.5,278,1.0,1001.8,5,50
2024-01-24,Sund,60.25,20.2,-3.4,74,7.7,54,1.0,1001.9,8,54
2024-01-24,Hammarland,60.2167,19.75,-3.8,77,3.8,49,0.8,1000.9,5,43
2024-01-24,Saltvik,60.2833,20.05,-3.3,79,6.2,176,1.1,998.8,14,45
2024-01-24,Geta,60.3833,19.85,-4.2,79,10.9,75,0.8,999.5,10,53
2024-01-24,Eckerö,60.2167,19.6167,-5.6,81,10.4,154,0.8,1000.6,14,47
2024-01-24,Lemland,60.05,20.0167,-3.1,79,4.1,201,0.7,1002.1,8,47
2024-01-24,Lumparland,60.1167,20.25,-4.2,76,8.9,157,0.9,1000.5,8,42
2024-01-25,Mariehamn,60.0972,19.9348,-9.7,59,3.7,342,0.5,1012.0,7,73
2024-01-25,Jomala,60.1,19.95,-9.5,59,5.9,252,0.5,1012.0,10,84
2024-01-25,Finström,60.2167,19.95,-9.1,60,6.1,112,0.6,1011.4,11,88
2024-01-25,Sund,60.25,20.2,-6.5,62,9.1,67,0.6,1012.3,14,79
2024-01-25,Hammarland,60.2167,19.75,-6.5,59,6.8,256,0.7,1012.9,12,84
2024-01-25,Saltvik,60.2833,20.05,-8.3,61,3.6,207,0.6,1014.3,12,79
2024-01-25,Geta,60.3833,19.85,-7.5,62,3.9,284,0.5,1014.6,6,74
2024-01-25,Eckerö,60.2167,19.6167,-7.3,64,8.4,359,0.7,1013.7,8,84
2024-01-25,Lemland,60.05,20.0167,-8.0,59,4.2,327,0.7,1012.3,13,85
2024-01-25,Lumparland,60.1167,20.25,-7.1,62,9.9,165,0.5,1012.4,8,77
2024-01-26,Mariehamn,60.0972,19.9348,-8.9,78,5.0,111,8.2,1019.2,12,57
2024-01-26,Jomala,60.1,19.95,-7.5,79,5.7,122,6.7,1019.0,5,61
2024-01-26,Finström,60.2167,19.95,-5.6,78,10.3,115,8.2,1019.5,12,60
2024-01-26,Sund,60.25,20.2,-9.2,80,8.9,296,8.7,1019.5,9,49
2024-01-26,Hammarland,60.2167,19.75,-8.2,79,9.0,340,5.9,1018.6,14,60
2024-01-26,Saltvik,60.2833,20.05,-7.1,79,10.1,254,8.7,1019.5,10,54
2024-01-26,Geta,60.3833,19.85,-6.4,81,4.8,160,7.2,1019.6,5,59
2024-01-26,Eckerö,60.2167,19.6167,-7.0,80,5.2,132,8.2,1020.7,10,57
2024-01-26,Lemland,60.05,20.0167,-8.7,84,8.1,277,7.5,1018.4,14,58
2024-01-26,Lumparland,60.1167,20.25,-6.2,85,6.4,355,6.1,1020.1,12,59
2024-01-27,Mariehamn,60.0972,19.9348,-2.7,68,5.3,288,0.2,1006.1,10,22
2024-01-27,Jomala,60.1,19.95,-5.0,66,3.3,257,0.2,1009.0,14,37
2024-01-27,Finström,60.2167,19.95,-4.5,66,6.0,324,0.2,1006.6,13,29
2024-01-27,Sund,60.25,20.2,-1.7,68,5.8,280,0.2,1008.6,8,36
2024-01-27,Hammarland,60.2167,19.75,-2.2,65,5.0,113,0.2,1006.8,12,21
2024-01-27,Saltvik,60.2833,20.05,-2.6,66,4.1,6,0.2,1008.1,8,21
2024-01-27,Geta,60.3833,19.85,-4.2,69,9.0,294,0.3,1008.4,16,34
2024-01-27,Eckerö,60.2167,19.6167,-2.6,60,4.0,116,0.2,1006.6,14,18
2024-01-27,Lemland,60.05,20.0167,-2.5,67,9.3,243,0.3,1008.7,15,18
2024-01-27,Lumparland,60.1167,20.25,-4.4,69,3.3,185,0.2,1006.7,14,20
2024-01-28,Mariehamn,60.0972,19.9348,-10.8,65,6.6,118,6.8,1007.7,9,89
2024-01-28,Jomala,60.1,19.95,-8.6,65,7.9,198,5.3,1009.8,5,99
2024-01-28,Finström,60.2167,19.95,-11.0,68,9.5,273,4.9,1009.0,6,82
2024-01-28,Sund,60.25,20.2,-11.2,71,5.5,163,6.6,1009.6,12,100
2024-01-28,Hammarland,60.2167,19.75,-8.0,66,9.2,330,5.0,1009.3,5,98
2024-01-28,Saltvik,60.2833,20.05,-7.5,70,6.4,218,5.1,1009.6,8,93
2024-01-28,Geta,60.3833,19.85,-7.9,72,5.0,207,6.4,1007.0,11,96
2024-01-28,Eckerö,60.2167,19.6167,-10.1,65,9.4,202,7.2,1008.3,5,98
2024-01-28,Lemland,60.05,20.0167,-9.7,66,11.0,120,5.1,1008.3,6,98
2024-01-28,Lumparland,60.1167,20.25,-11.4,65,7.9,48,7.1,1007.0,5,92
2024-01-29,Mariehamn,60.0972,19.9348,-5.1,62,7.4,74,0.3,1018.8,11,47
2024-01-29,Jomala,60.1,19.95,-5.4,57,4.2,155,0.4,1017.5,12,42
2024-01-29,Finström,60.2167,19.95,-5.1,64,4.7,306,0.3,1016.5,13,39
2024-01-29,Sund,60.25,20.2,-4.7,61,3.8,145,0.3,1018.0,14,35
2024-01-29,Hammarland,60.2167,19.75,-4.0,61,9.4,277,0.4,1017.6,9,29
2024-01-29,Saltvik,60.2833,20.05,-5.2,60,9.9,218,0.4,1017.1,11,29
2024-01-29,Geta,60.3833,19.85,-3.7,63,5.6,42,0.3,1019.4,9,39
2024-01-29,Eckerö,60.2167,19.6167,-5.4,60,9.0,40,0.3,1019.0,10,39
2024-01-29,Lemland,60.05,20.0167,-4.6,67,10.0,294,0.3,1019.8,10,38
2024-01-29,Lumparland,60.1167,20.25,-5.7,64,9.0,226,0.4,1016.2,13,36
2024-01-30,Mariehamn,60.0972,19.9348,2.1,62,4.6,88,0.2,1013.4,15,21
2024-01-30,Jomala,60.1,19.95,1.5,60,6.9,93,0.2,1011.3,18,26
2024-01-30,Finström,60.2167,19.95,0.9,60,8.2,240,0.2,1010.4,12,25
